2026-05-08 20:00:51,890 [INFO] Epoch 13 | Reward=27.04 | Success=98.75% | DepDelay=15.71ms | Fail=2/160 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 20:12:14,390 [INFO] Epoch 14 | Reward=26.54 | Success=98.12% | DepDelay=24.88ms | Fail=3/160 | TopFail=[('candidate_infeasible', 2), ('no_candidates', 1)]
2026-05-08 20:21:16,595 [INFO] Epoch 15 | Reward=25.88 | Success=96.25% | DepDelay=29.58ms | Fail=6/160 | TopFail=[('candidate_infeasible', 5), ('no_candidates', 1)]
2026-05-08 20:36:54,769 [INFO] Epoch 16 | Reward=27.18 | Success=99.38% | DepDelay=15.80ms | Fail=1/160 | TopFail=[('candidate_infeasible', 1)]
2026-05-08 20:54:19,910 [INFO] Epoch 17 | Reward=27.06 | Success=98.12% | DepDelay=11.12ms | Fail=3/160 | TopFail=[('candidate_infeasible', 3)]
2026-05-08 21:09:48,864 [INFO] Epoch 18 | Reward=27.05 | Success=98.75% | DepDelay=15.38ms | Fail=2/160 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 21:21:31,505 [INFO] Epoch 19 | Reward=26.51 | Success=98.12% | DepDelay=25.52ms | Fail=3/160 | TopFail=[('candidate_infeasible', 2), ('no_candidates', 1)]
2026-05-08 21:30:44,277 [INFO] Epoch 20 | Reward=26.25 | Success=98.12% | DepDelay=31.28ms | Fail=3/160 | TopFail=[('candidate_infeasible', 2), ('no_candidates', 1)]
2026-05-08 21:46:39,120 [INFO] Epoch 21 | Reward=26.74 | Success=97.50% | DepDelay=15.72ms | Fail=4/160 | TopFail=[('candidate_infeasible', 3), ('no_candidates', 1)]
2026-05-08 22:05:04,867 [INFO] Epoch 22 | Reward=26.62 | Success=96.25% | DepDelay=11.14ms | Fail=6/160 | TopFail=[('candidate_infeasible', 5), ('no_candidates', 1)]
2026-05-08 22:21:43,322 [INFO] Epoch 23 | Reward=27.05 | Success=98.75% | DepDelay=15.33ms | Fail=2/160 | TopFail=[('candidate_infeasible', 2)]
2026-05-08 22:33:52,766 [INFO] Epoch 24 | Reward=26.38 | Success=97.50% | DepDelay=25.00ms | Fail=4/160 | TopFail=[('candidate_infeasible', 4)]
2026-05-08 22:43:14,915 [INFO] Epoch 25 | Reward=26.41 | Success=98.75% | DepDelay=31.20ms | Fail=2/160 | TopFail=[('no_candidates', 1), ('candidate_infeasible', 1)]
2026-05-08 22:59:06,931 [INFO] Epoch 26 | Reward=26.16 | Success=95.00% | DepDelay=15.30ms | Fail=8/160 | TopFail=[('candidate_infeasible', 8)]
2026-05-08 23:17:26,129 [INFO] Epoch 27 | Reward=26.91 | Success=97.50% | DepDelay=11.02ms | Fail=4/160 | TopFail=[('candidate_infeasible', 4)]
2026-05-08 23:33:58,444 [INFO] Epoch 28 | Reward=26.34 | Success=95.62% | DepDelay=14.98ms | Fail=7/160 | TopFail=[('candidate_infeasible', 7)]
